Change Control,Source_System,Source_Entity,Source_Attribute,Source_Datatype,Join_Condition,Filter_Condition,Default_Value,Reference_Entity,Reference_Attribute,Mapping_Required_Flag,Transformation_Type,Transformation_Logic,Owner,Notes,Target_Domain,Target_Schema,Target_Entity,Target_Attribute,Target_Datatype,Technical_Description,Business_Description,Is_Nullable,Is_Primary_Key,Is_Business_Key,Is_Business_Data,Sensitivity,Scd_Type
,V10,,,,,,,,,,Generated UUID,,,Surrogate Key,PAY,CORE,CARD_PAYMENT_INSTRUMENT,CARD_PAYMENT_INSTRUMENT_KEY,VARCHAR (64),,,FALSE,TRUE,,,pii_category: NONE,1
,V10,,,,,,,,,,,,,20260307 Generated by DBT,PAY,CORE,CARD_PAYMENT_INSTRUMENT,CARD_PAYMENT_INSTRUMENT_BUSINESS_KEY,VARCHAR (64),An encrypted (hash) value of the business key data. This  will be the same value for all data with a common business key. This is called SCD7 by Kimball. Examples: hash(Customer Id); hash(Country Code). This is used to simplify look back and get current processing.,An encrypted (hash) value of the business key data. This  will be the same value for all data with a common business key. This is called SCD7 by Kimball. Examples: hash(Customer Id); hash(Country Code). This is used to simplify look back and get current processing.,FALSE,FALSE,,,pii_category: NONE,1
,V10,EMBOSSER_RECORD,AMED_DIGITAL_CARD_TYPE,,,,'PHYS',REFERENCE.CORE.PAYMENT_INSTRUMENT_TYPE,PAYMENT_INSTRUMENT_TYPE_CODE,Y,Lookup,"CASE
        WHEN TRIM(AMED_DIGITAL_CARD_TYPE) IN ('D','T','E','V')
            THEN TRIM(AMED_DIGITAL_CARD_TYPE)
        ELSE 'PHYS'
    END                                                    AS PAYMENT_INSTRUMENT_TYPE_SOURCE_CODE",,,PAY,CORE,CARD_PAYMENT_INSTRUMENT,PAYMENT_INSTRUMENT_TYPE_KEY,VARCHAR (64),The type of payment instrument - digital or physical.,The type of payment instrument - digital or physical.,FALSE,FALSE,,,pii_category: NONE,1
,V10,ACCOUNT_BASE_SEGMENT,AMBS_CUST_NBR,VARCHAR,,,,PAY.CORE.CUSTOMER,CUSTOMER_ID,Y,Lookup,,,,PAY,CORE,CARD_PAYMENT_INSTRUMENT,CARD_CUSTOMER_KEY,VARCHAR (64),,,FALSE,FALSE,,,pii_category: NONE,1
,V10,ACCOUNT_BASE_SEGMENT,AMBS_ACCT,"NUMBER(38,0)","EMBOSSER_RECORD emed
-- Account validation: ensure card's account exists
INNER JOIN (select distinct AMBS_ACCT, AMBS_ORG, AMBS_CUST_NBR, AMBS_APS_ACCT from ACCOUNT_BASE_SEGMENT) abs
    ON emed.AMED_POST_TO_ACCT = abs.AMBS_ACCT
    AND emed.AMED_ORG = abs.AMBS_ORG

WHERE emed.AMED_CARD_NBR IS NOT NULL
  AND TRIM(emed.AMED_CARD_NBR) != ''",,,PAY.CORE.CARD_ACCOUNT,ACCOUNT_NUMBER,Y,Lookup,,,,PAY,CORE,CARD_PAYMENT_INSTRUMENT,CARD_ACCOUNT_KEY,VARCHAR (64),,,FALSE,FALSE,,,pii_category: NONE,1
,V10,ACCOUNT_BASE_SEGMENT,AMBS_APS_ACCT,VARCHAR,"EMBOSSER_RECORD emed
-- Account validation: ensure card's account exists
INNER JOIN (select distinct AMBS_ACCT, AMBS_ORG, AMBS_CUST_NBR, AMBS_APS_ACCT from ACCOUNT_BASE_SEGMENT) abs
    ON emed.AMED_POST_TO_ACCT = abs.AMBS_ACCT
    AND emed.AMED_ORG = abs.AMBS_ORG

WHERE emed.AMED_CARD_NBR IS NOT NULL
  AND TRIM(emed.AMED_CARD_NBR) != ''",,,,,,,,,,PAY,CORE,CARD_PAYMENT_INSTRUMENT,APPLICATION_NUMBER,VARCHAR (13),,,FALSE,FALSE,,,pii_category: NONE,1
,V10,EMBOSSER_RECORD,AMED_CARD_NBR,"NUMBER(38,0)",,,,,,,,,,,PAY,CORE,CARD_PAYMENT_INSTRUMENT,PRIMARY_ACCOUNT_NUMBER,VARCHAR (16777216),,,TRUE,FALSE,,,pci_category: PCI,1
,V10,EMBOSSER_RECORD,AMED_CARD_NBR,"NUMBER(38,0)",,,,,,,,,,,PAY,CORE,CARD_PAYMENT_INSTRUMENT,PAYMENT_INSTRUMENT_ID,VARCHAR (16777216),Unique identifier of the payment instrument,Unique identifier of the payment instrument,FALSE,FALSE,,,pii_category: NONE,1
,V10,EMBOSSER_RECORD,AMED_XFR_CARD_NBR,"NUMBER(38,0)",,,,,,,,,,,PAY,CORE,CARD_PAYMENT_INSTRUMENT,OLD_PAYMENT_INSTRUMENT_ID,VARCHAR (16777216),Unique identifier of the old payment instrument,Unique identifier of the old payment instrument,TRUE,FALSE,,,pii_category: NONE,1
,V10,EMBOSSER_RECORD,AMED_DIGITAL_CARD_TYPE,VARCHAR,,,NDIG',REFERENCE.CORE.DIGITAL_CARD_TYPE,DIGITAL_CARD_TYPE_CODE,Y,Lookup,"CASE
        WHEN TRIM(AMED_DIGITAL_CARD_TYPE) IN ('D','T','E','V')
            THEN TRIM(AMED_DIGITAL_CARD_TYPE)
        ELSE 'NDIG'
    END AS DIGITAL_CARD_TYPE_CODE",,,PAY,CORE,CARD_PAYMENT_INSTRUMENT,DIGITAL_CARD_TYPE_KEY,VARCHAR (64),Identifies the type of digital card. Possible Response Values are 1 )FTRM = Full term 2 ) STRM = Short Term 3 ) TRAN = Transient 4 ) NDIG = Non Digital,Identifies the type of digital card. Possible Response Values are 1 )FTRM = Full term 2 ) STRM = Short Term 3 ) TRAN = Transient 4 ) NDIG = Non Digital,TRUE,FALSE,,,pii_category: NONE,1
,V10,EMBOSSER_RECORD,AMED_CARD_TECHNOLOGY,VARCHAR,,,'NPHY',REFERENCE.CORE.PHYSICAL_CARD_TECHNOLOGY_TYPE,PHYSICAL_CARD_TECHNOLOGY_TYPE_CODE,Y,Lookup,"CASE
        WHEN CAST(AMED_CARD_TECHNOLOGY AS VARCHAR) IN ('0','1','2','3','4','5')
            THEN CAST(AMED_CARD_TECHNOLOGY AS VARCHAR)
        ELSE 'NPHY'
    END                                                    AS PHYSICAL_CARD_TECHNOLOGY_TYPE_CODE",,,PAY,CORE,CARD_PAYMENT_INSTRUMENT,PHYSICAL_CARD_TECHNOLOGY_TYPE_KEY,VARCHAR (64),Indicates the technology type supported by the physical card. 1 ) MGST = MagneticStripe 2 ) CTCP = ContactChip 3 ) CLMS = ContactlessMagStripe 4 ) CLCP = ContactlessChip 5 ) MCLM = MobileContactlessMagStripe,Indicates the technology type supported by the physical card. 1 ) MGST = MagneticStripe 2 ) CTCP = ContactChip 3 ) CLMS = ContactlessMagStripe 4 ) CLCP = ContactlessChip 5 ) MCLM = MobileContactlessMagStripe,TRUE,FALSE,,,pii_category: NONE,1
,V10,,,,,,NULL,,,,,,,Not available in V10,PAY,CORE,CARD_PAYMENT_INSTRUMENT,IS_DELAYED_REPLACEMENT_FLAG,VARCHAR (1),In case of lost/stolen replacement card request with lost/stolen report or later Yes = Later NO= with lost/stolen,In case of lost/stolen replacement card request with lost/stolen report or later Yes = Later NO= with lost/stolen,TRUE,FALSE,,,pii_category: NONE,1
,V10,EMBOSSER_RECORD,AMED_CURR_FIRST_USAGE_FLAG,CHAR(1),,,,REFERENCE.CORE.CARD_ACTIVATION_STATUS,CARD_ACTIVATION_STATUS_CODE,,,,,,PAY,CORE,CARD_PAYMENT_INSTRUMENT,CARD_ACTIVATION_STATUS_KEY,VARCHAR (64),,,FALSE,FALSE,,,pii_category: NONE,1
,V10,EMBOSSER_RECORD,AMED_CARD_ACTIVATED_DATE,DATE,,,,,,,,,,,PAY,CORE,CARD_PAYMENT_INSTRUMENT,ACTIVATION_DATE,DATE,Date when the payment instrument was activated (YYYY-MM-dd). Example2025-03-25,Date when the payment instrument was activated (YYYY-MM-dd). Example2025-03-25,TRUE,FALSE,,,pii_category: NONE,1
,V10,EMBOSSER_RECORD,AMED_DATE_OPENED,DATE,,,,,,,,AMED_DATE_OPENED::TIMESTAMP_NTZ,,,PAY,CORE,CARD_PAYMENT_INSTRUMENT,CARD_CREATED_DATETIME,TIMESTAMP WITH LOCAL TIME ZONE,Date-time when card record was created Time zone in GMT,Date-time when card record was created Time zone in GMT,TRUE,FALSE,,,pii_category: NONE,1
,V10,EMBOSSER_RECORD,AMED_DIGITAL_CARD_TYPE,VARCHAR,,,'N',,,,,"CASE
        WHEN TRIM(AMED_DIGITAL_CARD_TYPE) IN ('D','T','E','V') THEN 'Y'
        ELSE 'N'
    END                                                    AS IS_DIGITAL_FLAG",,,PAY,CORE,CARD_PAYMENT_INSTRUMENT,IS_DIGITAL_FLAG,VARCHAR (1),Card is virtual or physical. Possible value 1 )Y 2 )N,Card is virtual or physical. Possible value 1 )Y 2 ) N,TRUE,FALSE,,,pii_category: NONE,1
,V10,EMBOSSER_RECORD,AMED_DATE_EXPIRE,DATE,,,,,,,,,,,PAY,CORE,CARD_PAYMENT_INSTRUMENT,EXPIRATION_DATE,DATE,Expiry Date of card expressed,Expiry Date of card expressed,TRUE,FALSE,,,pii_category: NONE,1
,V10,EMBOSSER_RECORD,,,,,,REFERENCE.CORE.CARD_STATUS,CARD_STATUS_CODE,Y,Lookup,"CAST(emed.AMED_ADD_STATUS AS VARCHAR) || '|' || COALESCE(emed.AMED_STATUS, '')
                                                           AS CARD_STATUS_CODE",,,PAY,CORE,CARD_PAYMENT_INSTRUMENT,CARD_STATUS_KEY,VARCHAR (64),The key of the card status.,The key of the card status.,FALSE,FALSE,,,pii_category: NONE,1
,V10,EMBOSSER_RECORD,AMED_CARD_ACTION,VARCHAR,,,,,,,," CASE WHEN AMED_CARD_ACTION = 4 THEN 'Y' ELSE 'N'
    END                                                    AS ",,,PAY,CORE,CARD_PAYMENT_INSTRUMENT,IS_CANCELLED_FLAG,VARCHAR (1),,,TRUE,FALSE,,,pii_category: NONE,1
20260814 RW: requires change to a lookup,V10,EMBOSSER_RECORD,AMED_BLOCK_CODE,VARCHAR,,,,,,,,"CASE
        WHEN AMED_BLOCK_CODE IS NULL OR TRIM(AMED_BLOCK_CODE) = '' THEN 'N'
        ELSE 'Y'
    END                                                    AS IS_BLOCKED_FLAG",,"20260817 RW: The new code table CARD_BLOCKED_REASON has been added.

Create a  Block Code Reference  Table with the below values and lookup on AMED_BLOCK_CODE and get the  Block Code Description

Block Code	 Block Code Description
S		 Stolen
(blank/null)		No block — card is active
X		  Lost and replaced / Cancelled
W	 Written off
N		 New card not activated
Y		 Fraud block
P		 Pickup / Confiscate
H		 Hold
J	 	Transfer out
D, A, T, Q, C, etc.	Various	Other system-specific block reasons",PAY,CORE,CARD_PAYMENT_INSTRUMENT,IS_BLOCKED_FLAG,VARCHAR (1),,,TRUE,FALSE,,,pii_category: NONE,1
,V10,EMBOSSER_RECORD,AMED_BLOCK_CODE,VARCHAR,,,,REFERENCE.CORE.CARD_BLOCKED_REASON,CARD_BLOCKED_REASON_CODE,Y,Lookup,"CASE
        WHEN AMED_BLOCK_CODE IS NULL OR TRIM(emed.AMED_BLOCK_CODE) = '' THEN 'NBLCK'
        ELSE TRIM(AMED_BLOCK_CODE)
    END                                                    AS CARD_BLOCKED_REASON_CODE",,"20260817 RW: The new code table CARD_BLOCKED_REASON has been added.

Create a  Block Code Reference  Table with the below values and lookup on AMED_BLOCK_CODE and get the  Block Code Description

Block Code	 Block Code Description
S		 Stolen
(blank/null)		No block — card is active
X		  Lost and replaced / Cancelled
W	 Written off
N		 New card not activated
Y		 Fraud block
P		 Pickup / Confiscate
H		 Hold
J	 	Transfer out
D, A, T, Q, C, etc.	Various	Other system-specific block reasons",PAY,CORE,CARD_PAYMENT_INSTRUMENT,CARD_BLOCKED_REASON_KEY,VARCHAR (64),A surrogate key for the block reason.,A surrogate key for the block reason.,FALSE,FALSE,,,pii_category: NONE,1
,V10,EMBOSSER_RECORD,AMED_CARDHOLDER_TYPE,VARCHAR,,,,REFERENCE.CORE.CARD_HOLDER_TYPE,CARD_HOLDER_TYPE_CODE,Y,Lookup,"COALESCE(CAST(emed.AMED_CARDHOLDER_TYPE AS VARCHAR), 'PRIM')
                                                           AS CARD_HOLDER_TYPE_CODE",,"AMED_CARDHOLDER_TYPE in (0,1,2)
1 (Primary) — The main account holder whose name is on the account.
2 (Secondary) — An additional/supplementary cardholder (e.g., spouse, authorized user) issued a card on the same account.
0 — Typically a default or unassigned value.",PAY,CORE,CARD_PAYMENT_INSTRUMENT,CARD_HOLDER_TYPE_KEY,VARCHAR (64),,,FALSE,FALSE,,,pii_category: NONE,1
,V10,EMBOSSER_RECORD,AMED_EMBOSSED_NAME_1,,,,,,,,,"TRIM(REGEXP_REPLACE(
        SPLIT_PART(AMED_EMBOSSED_NAME_1, '/', 1),
        '^(MR|MRS|MS|MISS|DR|PROF|REV)\\s+', ''
    ))                                                     AS CARD_HOLDER_FIRST_NAME",,"There is only Full Name available in all the given columns. Need to derive First Name
AMED_EMBOSSED_NAME_1
AMED_EMBOSSED_NAME_2
AMED_EMBR_NAME_1
AMED_EMBR_NAME_2",PAY,CORE,CARD_PAYMENT_INSTRUMENT,CARD_HOLDER_FIRST_NAME,VARCHAR (50),Card holder first name,Card holder first name,TRUE,FALSE,,,pii_category: IDENTIFIER,1
,V10,EMBOSSER_RECORD,AMED_EMBOSSED_NAME_1,,,,,,,,,"TRIM(SPLIT_PART(AMED_EMBOSSED_NAME_1, '/', 2))       AS CARD_HOLDER_LAST_NAME",,"There is only Full Name available in all the given columns. Need to derive Last Name
AMED_EMBOSSED_NAME_1
AMED_EMBOSSED_NAME_2
AMED_EMBR_NAME_1
AMED_EMBR_NAME_2",PAY,CORE,CARD_PAYMENT_INSTRUMENT,CARD_HOLDER_LAST_NAME,VARCHAR (50),Card holder Last name,Card holder Last name,TRUE,FALSE,,,pii_category: IDENTIFIER,1
,V10,EMBOSSER_RECORD,DATAOPS_VISION_REGION,,,,,REFERENCE.CORE.COUNTRY,COUNTRY_CODE,Y,Lookup,,,"AMED_ADDR_LINE_1
AMED_ADDR_LINE_2
AMED_CITY
AMED_ST_PR
AMED_PSTL_CD",PAY,CORE,CARD_PAYMENT_INSTRUMENT,CARD_HOLDER_ADDRESS_COUNTRY_KEY,VARCHAR (64),A surrogate key for the country.,A surrogate key for the country.,FALSE,FALSE,,,pii_category: NONE,1
,V10,EMBOSSER_RECORD,AMED_CURR_CHIP_SEQ,,,,,,,,,,,,PAY,CORE,CARD_PAYMENT_INSTRUMENT,CHIP_SEQUENCE,VARCHAR (16777216),Identifies the value of Chip Sequence.,Identifies the value of Chip Sequence.,TRUE,FALSE,,,pii_category: NONE,1
,V10,EMBOSSER_RECORD,AMED_STATUS,,,,,REFERENCE.CORE.CARD_FRAUD_STATUS,CARD_FRAUD_STATUS_CODE,Y,Lookup,"COALESCE(AMED_STATUS, '0')",,,PAY,CORE,CARD_PAYMENT_INSTRUMENT,CARD_FRAUD_STATUS_KEY,VARCHAR (64),,,FALSE,FALSE,,,pii_category: NONE,1
